_Area,_Location,_Class,_Name,_19Jan,_19Feb,_19Mar,_19Apr,_19May,_19Jun,_19Jul,_19Aug,_19Sep,_19Oct,_19Nov,_19Dec,_20Jan,_20Feb,_20Mar,_20Apr,_20May,_20Jun,_20Jul,_20Aug,_20Sep,_20Oct,_20Nov,_20Dec,_21Jan,_21Feb,_21Mar,_21Apr,_21May,_21Jun,_21Jul,_21Aug,_21Sep,_21Oct,_21Nov,_21Dec,_22Jan,_22Feb,_22Mar,_22Apr,_22May,_22Jun,_22Jul,_22Aug,_22Sep,_22Oct,_22Nov,_22Dec,_23Jan,_23Feb,_23Mar,_23Apr,_23May,_23Jun,_23Jul,_23Aug,_23Sep,_23Oct,_23Nov,_23Dec,_19Total,_20Total,_21Total,_22Total,_23Total,_Total,_20Rate,_21Rate,_22Rate,_23Rate,_before,_after,_rate
Northern,Taipei City,Museums,國立歷史博物館,0,4441,9761,361613,359689,255642,172933,86990,63898,34642,24538,41679,41164,21817,10297,15191,63916,127552,96024,218084,190188,246018,138948,118501,173973,266892,120588,151745,51642,0,2815,56860,86984,167844,136423,110530,92778,119651,57085,83075,62618,78667,124667,90229,81752,135236,112355,82140,64519,40238,31776,57476,82523,187182,290778,204936,91447,98719,121010,134908,1415826,1287700,1326296,1120253,1405512,6555587,-9.05,3.0,-15.54,25.46,3416724,3027546,-0.11390384473548347
Northern,Keelung City,Others,基隆嶼,0,8,9,1068,1794,8747,21255,10024,13057,12985,5104,814,27,103,118,203,212,620,17591,17310,15333,211,0,0,0,0,3392,16560,10059,0,0,3519,7562,10283,0,8,0,151,524,283,1789,365,715,11108,10069,6668,0,0,0,0,0,20827,20525,19833,15430,10147,13975,14104,0,0,74865,51728,51383,31672,114841,324489,-30.9,-0.67,-38.36,262.59,146545,164366,0.12160769729434645
Southern,Chiayi County,National Scenic Areas,梅山太平雲梯,0,0,0,0,0,0,0,0,0,0,0,0,43531,40968,30990,31109,29523,47264,44266,51427,41214,80057,60582,54919,58234,82493,49151,50110,19133,0,4910,7806,32537,55175,53180,49151,37395,69302,38624,37812,16186,25611,42201,43721,32288,48521,35659,38451,63101,44079,31397,49920,22957,27885,27954,20438,21113,34927,32937,34490,0,555850,461880,465771,411198,1894699,inf,-16.91,0.84,-11.72,795838,1067012,0.34074020089515705
Southern,Tainan City,Museums,台南山上花園水道博物館,0,0,0,0,0,0,0,0,0,163488,56185,41423,73288,72298,46490,40257,28417,39360,35571,38299,35938,68620,56354,46115,49505,68282,38129,45069,14753,0,3216,13177,17725,36355,40542,39585,27319,64233,29765,24456,10142,13703,22397,20023,20944,40116,23106,24861,47808,34343,23899,31746,18159,18087,12096,12320,8545,19295,18860,18924,261096,581007,366338,321065,264082,1793588,122.53,-36.95,-12.36,-17.75,1043088,719354,-0.3103611584065774
Eastern,Hualien County,Tourist Areas,親不知子天空步道,0,0,0,0,0,0,0,0,0,0,0,0,39455,38949,18112,21927,24760,51298,90650,96400,56049,30486,0,0,14914,43050,24750,27350,11300,0,3346,14604,9239,19604,18557,22314,12599,20559,13604,12537,5319,11158,25592,25547,14865,11300,9428,10180,14670,11025,8572,14222,8563,12610,14624,15419,8379,12521,10012,9896,0,468086,209028,172688,140513,990315,inf,-55.34,-17.39,-18.63,578150,382915,-0.33768918100838885
Eastern,Taitung County,National Scenic Areas,都歷處本部,0,0,0,0,0,0,13899,9857,8124,8239,6457,7568,39752,34824,30305,45750,19822,33319,43726,63560,81669,86298,66868,39662,51589,39895,31614,37276,22254,0,4967,8470,21679,32415,17053,25747,20461,18940,13884,13910,10628,13529,39907,26338,28034,17560,25500,25678,30024,21689,24036,21136,19887,25088,30487,21498,20648,20646,19351,19465,54144,585555,292959,254369,273955,1460982,981.48,-49.97,-13.17,7.7,800073,625218,-0.2185488074213228
Eastern,Taitung County,Others,池上大坡池地區,0,0,0,0,0,0,0,0,0,0,0,0,47144,32770,14124,32011,53477,87144,134173,67144,23987,22439,16872,24133,53336,31764,26113,43216,6720,0,1873,5674,32413,43176,61336,48377,55173,34133,41764,22496,36143,41198,54133,53259,149910,117724,87576,89762,133210,98092,72781,115122,100879,130448,146129,153775,183850,238128,215512,151488,0,555418,353998,783271,1739414,3432101,inf,-36.26,121.26,122.07,709847,2707987,2.814888278741757
Southern,Pingtung County,Others,大路觀主題樂園,837,4861,2039,3007,1608,3484,3368,1337,2294,2352,1017,439,3896,896,1092,966,2153,4426,6727,6783,1221,1837,684,171,312,2666,111,1779,656,0,26,158,393,934,437,271,86,501,301,602,52,277,1494,1789,627,234,133,716,297,83,201,730,277,688,1872,1026,389,433,157,174,26643,30852,7743,6812,6327,78377,15.8,-74.9,-12.02,-7.12,62363,15174,-0.7566826483652166
Northern,New Taipei City,Museums,朱銘美術館,964,7343,5453,7799,7557,8199,16155,14778,12948,11978,7462,8521,4867,4023,3770,2776,4121,6131,6835,21466,5438,9896,10003,4483,2839,4727,3477,5597,1865,9,779,2727,3554,6963,3657,4167,2200,4226,2744,4297,11636,3354,4911,4326,3955,4632,6915,2883,4127,4646,3970,6269,5364,5158,4751,5711,4422,7811,4336,3840,109157,83809,40361,56079,60405,349811,-23.22,-51.84,38.94,7.71,209606,134825,-0.3567693672891043
Northern,Keelung City,Museums,陽明海洋文化藝術館,974,904,947,1412,1001,894,1863,1351,1201,1546,1176,1069,403,305,151,322,707,897,1309,962,944,768,0,0,0,0,0,0,0,0,0,98,111,187,1039,1082,457,565,424,305,329,1035,1509,1734,1370,3805,1122,1122,1177,1015,1210,2181,1647,1942,2168,2023,1307,3170,1537,1760,14338,6768,2517,13777,21137,58537,-52.8,-62.81,447.36,53.42,21106,37333,0.7688335070596038
Northern,Yilan County,Municipallevel and Countylevel Scenic Area,武荖坑風景區,1088,2388,2002,4140,4964,7405,16177,11463,6713,6994,2619,1357,2018,1658,9523,50233,21619,11041,25421,26578,7936,8147,2214,1041,1355,2082,47915,301159,118540,0,237,3649,3494,2923,1905,2330,1016,1555,1457,1758,1305,4303,15505,14199,4091,2772,1540,1678,1634,0,13135,274654,130994,3965,9779,8389,6344,3505,2369,1547,67310,167429,485589,51179,456315,1227822,148.74,190.03,-89.46,791.61,587250,518146,-0.11767390378884632
Central,Miaoli County,Others,香格里拉樂園,1270,4122,4115,8553,4119,1493,878,1430,6364,6869,6031,6299,1373,218,10,7,28,2989,1514,2740,7758,6436,8352,6832,1481,200,4206,6926,768,0,0,3,185,4835,9019,8672,2085,344,4303,2366,815,16,5,1359,6441,8793,7608,7700,0,0,0,0,30,0,0,0,0,100,80,0,51543,38257,36295,41835,210,168140,-25.78,-5.13,15.26,-99.5,102613,64756,-0.3689298626879635
Northern,Hsinchu County,Forest Recreation Areas,萬瑞森林樂園,1491,2603,1017,2710,1010,989,2223,1566,3218,5163,4699,5700,1508,762,513,441,277,1326,2291,2917,8736,7738,4541,3718,1105,2620,2208,6423,706,0,114,316,598,2048,3811,5872,837,1910,2283,1848,44,416,1410,3294,4103,3861,3268,2289,3413,3548,4471,4851,2051,2361,5059,2871,6381,4990,5530,5346,32389,34768,25821,25563,50872,169413,7.35,-25.73,-1.0,99.01,79513,88764,0.11634575478223687
Northern,Hsinchu County,Leisure Agriculture Areas and Leisure Farm,南園人文客棧,1651,1585,1420,2372,2152,1642,1131,1423,1721,2178,2015,2019,2056,1232,1092,931,1919,1728,1941,2014,2079,2207,1235,1470,1133,1198,1420,1484,669,0,0,334,326,683,877,1202,679,549,617,693,180,225,452,335,343,592,491,498,689,259,312,712,600,552,302,552,517,848,849,658,21309,19904,9326,5654,6850,63043,-6.59,-53.15,-39.37,21.15,46448,15592,-0.6643127798828797
