_Name,2019年遊客量,2020年遊客量,2020變化率,2021年遊客量,2021變化率,2022年遊客量,2022變化率,2023年遊客量,2023變化率
七股鹽山園區,629927,525385,-16.6,448351,-14.66,434151,-3.17,690750,59.1
七星潭風景區,1185843,731466,-38.32,452908,-38.08,488431,7.84,482264,-1.26
九族文化村,978302,846111,-13.51,604392,-28.57,830213,37.36,817966,-1.48
八仙山國家森林遊樂區,139282,198294,42.37,139200,-29.8,183451,31.79,168649,-8.07
八仙洞,130446,124265,-4.74,55411,-55.41,55337,-0.13,61975,12
八里左岸公園,3653000,3647440,-0.15,2761540,-24.29,2519920,-8.75,3225508,28
八卦山風景區（南投地區）,2420036,1880454,-22.3,931519,-50.46,812623,-12.76,667083,-17.91
八卦山風景區(彰化地區),2420036,1880454,-22.3,931519,-50.46,2080304,123.32,1997369,-3.99
十分旅遊服務中心,4212800,2260000,-46.35,1111500,-50.82,1881880,69.31,2302509,22.35
十分瀑布,2801300,1460800,-47.85,790400,-45.89,1432050,81.18,1594787,11.36
三仙臺,572021,612926,7.15,304078,-50.39,399279,31.31,384396,-3.73
三地門遊憩區,774480,522289,-32.56,338837,-35.12,367110,8.34,178129,-51.48
三芝遊憩區,368169,388439,5.51,271569,-30.09,464299,70.97,415285,-10.56
三峽老街,2023000,1621000,-19.87,927300,-42.79,697957,-24.73,988760,41.66
三峽歷史文物館,59535,46632,-21.67,29296,-37.18,41765,42.56,56212,34.59
士林官邸公園,2815012,1598240,-43.22,1564793,-2.09,1231168,-21.32,1706396,38.6
大天后宮,532257,313261,-41.14,228137,-27.17,277425,21.6,354897,27.93
大屯遊憩區,568615,446489,-21.48,374391,-16.15,343283,-8.31,353320,2.92
大甲鎮瀾宮,923900,812050,-12.11,647850,-20.22,1362971,110.38,1549150,13.66
大坑登山步道,2896952,3304430,14.07,1248793,-62.21,2047631,63.97,3257208,59.07
大里外澳遊憩區,1981087,1689853,-14.7,923714,-45.34,1320604,42.97,1748172,32.38
大板根森林溫泉酒店,194275,200160,3.03,118388,-40.85,162101,36.92,196458,21.19
大雪山國家森林遊樂區,159218,267370,67.93,139829,-47.7,188328,34.68,165707,-12.01
大湖草莓文化館,1029818,1253679,21.74,758585,-39.49,134452,-82.28,264386,96.64
大溪老城區,421353,4891022,1060.79,5083304,3.93,5938280,16.82,6988420,17.68
大路觀主題樂園,26643,30852,15.8,7743,-74.9,6812,-12.02,6327,-7.12
大鵬灣遊憩區,14125758,665062,-95.29,611388,-8.07,1640326,168.3,1898988,15.77
小人國主題樂園,714890,588427,-17.69,339472,-42.31,598773,76.38,576559,-3.71
小叮噹科學主題樂園,344622,318397,-7.61,189642,-40.44,274231,44.6,461211,68.18
小油坑遊憩區,469017,371214,-20.85,230010,-38.04,219229,-4.69,433318,97.66
小烏來風景特定區,300912,472054,56.87,357003,-24.37,537179,50.47,584165,8.75
小琉球遊憩區,441588,330809,-25.09,822978,148.78,987032,19.93,1117890,13.26
小野柳(加路蘭),665000,770293,15.83,608969,-20.94,616149,1.18,591575,-3.99
小墾丁渡假村,111949,82245,-26.53,52736,-35.88,80884,53.38,73274,-9.41
中埔遊客中心,79200,57981,-26.79,34783,-40.01,41620,19.66,41507,-0.27
五峰旗風景區,676187,844418,24.88,417501,-50.56,317960,-23.84,348776,9.69
井仔腳瓦盤鹽田,262613,194049,-26.11,196803,1.42,454927,131.16,636193,39.85
內洞國家森林遊樂區,259055,257782,-0.49,173108,-32.85,183529,6.02,186828,1.8
內灣老街,1279137,1408468,10.11,1389481,-1.35,1375479,-1.01,1378986,0.25
六堆客家文化園區,979100,823714,-15.87,504821,-38.71,630228,24.84,713713,13.25
六福村主題遊樂園,1493182,1223197,-18.08,803529,-34.31,1182641,47.18,1237891,4.67
天空之橋,191963,167622,-12.68,119827,-28.51,102997,-14.05,96244,-6.56
太平山國家森林遊樂區,525787,608895,15.81,412834,-32.2,515725,24.92,496330,-3.76
太魯閣國家公園遊客中心,866842,529424,-38.92,237413,-55.16,305955,28.87,451405,47.54
日月潭環潭區,4766840,3474403,-27.11,2394008,-31.1,3352887,40.05,3327655,-0.75
木雕博物館,75720,57277,-24.36,31619,-44.8,46643,47.52,60320,29.32
水往上流遊憩區,532223,423660,-20.4,220589,-47.93,222891,1.04,156859,-29.63
水湳洞遊客中心,788650,392000,-50.29,278500,-28.95,405920,45.75,543121,33.8
冬山河生態綠舟,464424,132437,-71.48,188351,42.22,402190,113.53,259521,-35.47
冬山河親水公園,662499,343289,-48.18,133380,-61.15,518416,288.68,598973,15.54
北投溫泉博物館,416568,214806,-48.43,149584,-30.36,186101,24.41,368584,98.06
北門遊客中心,383225,316176,-17.5,283313,-10.39,451408,59.33,344093,-23.77
北埔老街,738838,761702,3.09,931133,22.24,1007653,8.22,1119132,11.06
北港朝天宮,5811100,7439150,28.02,6778700,-8.88,4328350,-36.15,7805900,80.34
古坑綠色隧道,1260000,1258000,-0.16,863500,-31.36,1610000,86.45,1765067,9.63
台北101景觀台,2388182,623419,-73.9,163317,-73.8,295658,81.03,1289750,336.23
台北探索館,231480,190112,-17.87,132962,-30.06,145894,9.73,233700,60.18
台北植物園,1592117,1730014,8.66,1086320,-37.21,1116802,2.81,1463634,31.06
台北當代藝術館,337381,136031,-59.68,107175,-21.21,143113,33.53,216847,51.52
台東森林公園,378862,444144,17.23,259920,-41.48,293826,13.04,270838,-7.82
台南山上花園水道博物館,261096,581007,122.53,366338,-36.95,321065,-12.36,264082,-17.75
布洛灣遊憩區,206005,247725,20.25,303252,22.41,537449,77.23,926865,72.46
布農部落,90641,76860,-15.2,30724,-60.03,50612,64.73,32243,-36.29
永安漁港,1759644,1440622,-18.13,1605050,11.41,2197468,36.91,2392293,8.87
玉山管理處遊客服務中心,114836,127109,10.69,92620,-27.13,55652,-39.91,56262,1.1
田尾公路花園,1610357,1286222,-20.13,763978,-40.6,835450,9.36,1005200,20.32
白石湖吊橋,206603,234604,13.55,235002,0.17,199603,-15.06,210580,5.5
白沙灣,1013297,793799,-21.66,494766,-37.67,630690,27.47,786960,24.78
石門水庫風景區,1294368,3200391,147.26,2696589,-15.74,3166271,17.42,3174766,0.27
石梯坪,289220,225923,-21.89,130905,-42.06,122083,-6.74,200137,63.94
立川漁場,339655,338174,-0.44,174658,-48.35,210564,20.56,229612,9.05
合歡山國家森林遊樂區,33531,33918,1.15,22019,-35.08,28372,28.85,23444,-17.37
安平小鎮,1419887,1018145,-28.29,803993,-21.03,759332,-5.55,4441443,484.91
朱銘美術館,109157,83809,-23.22,40361,-51.84,56079,38.94,60405,7.71
池上大坡池地區,0,555418,0,353998,-36.26,783271,121.26,1739414,122.07
池南國家森林遊樂區,29917,35519,18.73,27293,-23.16,39098,43.25,41080,5.07
竹圍漁港,1982041,2009720,1.4,2051548,2.08,2238420,9.11,2680656,19.76
行政院農業委員會特有生物研究保育中心,54425,58959,8.33,50184,-14.88,56627,12.84,67312,18.87
西湖渡假村,92872,75444,-18.77,104843,38.97,90607,-13.58,135757,49.83
佛光山,9001957,4285583,-52.39,1930135,-54.96,1496335,-22.48,2433973,62.66
冷水坑,617500,542717,-12.11,361741,-33.35,400101,10.6,783044,95.71
杉林溪森林生態渡假園區,647884,714241,10.24,563398,-21.12,739614,31.28,831200,12.38
